experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit
scenario,U,hybrid,100,1,cg,scenario,U,178339.47421345147,8.347958699974697,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,178339.47421345147,0.0,,,,,0,,,,"{'shore': 13, 'battery': 87, 'brown': 0}",19,51171.21168002153,0.0,51171.21168002153,0.21052631578947367,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.16666666666666666,0.8333333333333334,0.0,0.0,19,29416.134887646014,0.0,29416.134887646014,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.07142857142857142,0.9285714285714286,0.0,0.0,
scenario,U,hybrid,100,1,greedy,scenario,U,220165.3258081347,0.06496180000249296,,,ok,,,,,,,209415.3258081347,10750.0,,,,,0,,,,"{'shore': 15, 'battery': 68, 'brown': 17}",19,63433.13623099793,4500.0,67933.13623099793,0.05263157894736842,0.8421052631578947,0.10526315789473684,0.11842105263157894,48,81669.17117611007,5000.0,86669.17117611007,0.2916666666666667,0.5208333333333334,0.1875,0.13020833333333334,19,33713.01840102664,875.0,34588.01840102664,0.0,0.8421052631578947,0.15789473684210525,0.09210526315789473,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.21428571428571427,0.017857142857142856,
scenario,U,hybrid,100,1,fifo,scenario,U,218820.70862380567,0.027904100017622113,,,ok,,,,,,,209195.70862380564,9625.0,,,,,0,,,,"{'shore': 15, 'battery': 69, 'brown': 16}",19,65720.60449132964,1000.0,66720.60449132964,0.0,0.8947368421052632,0.10526315789473684,0.02631578947368421,48,80542.87006744315,6000.0,86542.87006744315,0.3125,0.5,0.1875,0.15625,19,32332.23406503286,2250.0,34582.234065032855,0.0,0.8947368421052632,0.10526315789473684,0.23684210526315788,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.21428571428571427,0.017857142857142856,
scenario,U,hybrid,100,1,milp60,scenario,U,185418.1099593008,62.00455170002533,,,not solved,,,,,,,184618.1099593008,800.0,,,,,0,,,,"{'shore': 11, 'battery': 86, 'brown': 3}",19,51425.52592926274,0.0,51425.52592926274,0.2631578947368421,0.6842105263157895,0.05263157894736842,0.0,48,78576.44914239206,800.0,79376.44914239206,0.125,0.8333333333333334,0.041666666666666664,0.020833333333333332,19,29416.134887646014,0.0,29416.134887646014,0.0,1.0,0.0,0.0,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,60.0
scenario,U,hybrid,100,1,milp300,scenario,U,178412.9611580044,301.9361345000216,,,not solved,,,,,,,178412.9611580044,0.0,,,,,0,,,,"{'shore': 13, 'battery': 87, 'brown': 0}",19,52648.32444411123,0.0,52648.32444411123,0.15789473684210525,0.8421052631578947,0.0,0.0,48,74748.5018262471,0.0,74748.5018262471,0.14583333333333334,0.8541666666666666,0.0,0.0,19,29416.134887646014,0.0,29416.134887646014,0.0,1.0,0.0,0.0,14,21600.0,0.0,21600.0,0.21428571428571427,0.7857142857142857,0.0,0.0,300.0
scenario,U,hybrid,100,2,cg,scenario,U,190858.96928937038,10.439470899989828,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,190858.96928937038,0.0,,,,,0,,,,"{'shore': 16, 'battery': 84, 'brown': 0}",23,71908.2069146626,0.0,71908.2069146626,0.043478260869565216,0.9565217391304348,0.0,0.0,53,79252.91996959159,0.0,79252.91996959159,0.2641509433962264,0.7358490566037735,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,20400.0,0.0,20400.0,0.08333333333333333,0.9166666666666666,0.0,0.0,
scenario,U,hybrid,100,2,greedy,scenario,U,234162.06951325823,0.06890670000575483,,,ok,,,,,,,219987.06951325823,14175.0,,,,,0,,,,"{'shore': 14, 'battery': 71, 'brown': 15}",23,78101.47441038773,2000.0,80101.47441038773,0.043478260869565216,0.8695652173913043,0.08695652173913043,0.043478260869565216,53,93941.15145405084,9800.0,103741.15145405084,0.24528301886792453,0.5849056603773585,0.16981132075471697,0.23113207547169812,12,20944.44364881962,1250.0,22194.44364881962,0.0,0.9166666666666666,0.08333333333333333,0.20833333333333334,12,27000.0,1125.0,28125.0,0.0,0.75,0.25,0.0625,
scenario,U,hybrid,100,2,fifo,scenario,U,232550.01869144567,0.03144849999807775,,,ok,,,,,,,218625.01869144573,13925.0,,,,,0,,,,"{'shore': 13, 'battery': 72, 'brown': 15}",23,72220.86992411925,6500.0,78720.86992411925,0.08695652173913043,0.8695652173913043,0.043478260869565216,0.14130434782608695,53,99659.70511850678,5800.0,105459.70511850678,0.18867924528301888,0.6226415094339622,0.18867924528301888,0.13679245283018868,12,20944.44364881962,1625.0,22569.44364881962,0.0,0.9166666666666666,0.08333333333333333,0.2708333333333333,12,25800.0,0.0,25800.0,0.08333333333333333,0.6666666666666666,0.25,0.0,
scenario,U,hybrid,100,2,milp60,scenario,U,203084.29163091865,62.41797900001984,,,not solved,,,,,,,203084.29163091865,0.0,,,,,0,,,,"{'shore': 10, 'battery': 84, 'brown': 6}",23,67748.19847002604,0.0,67748.19847002604,0.17391304347826086,0.782608695652174,0.043478260869565216,0.0,53,94438.25075577643,0.0,94438.25075577643,0.11320754716981132,0.7924528301886793,0.09433962264150944,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,60.0
scenario,U,hybrid,100,2,milp300,scenario,U,197011.67123438165,302.02630430000136,,,not solved,,,,,,,195636.6712736532,1375.0,,,,,0,,,,"{'shore': 12, 'battery': 85, 'brown': 3}",23,67066.78695977025,0.0,67066.78695977025,0.13043478260869565,0.8695652173913043,0.0,0.0,53,87472.95132825256,1000.0,88472.95132825256,0.1509433962264151,0.8113207547169812,0.03773584905660377,0.02358490566037736,12,20696.932985630407,375.0,21071.932985630407,0.0,0.9166666666666666,0.08333333333333333,0.0625,12,20400.0,0.0,20400.0,0.08333333333333333,0.9166666666666666,0.0,0.0,300.0
